# Created by Octave 4.2.2, Thu May 02 15:12:13 2019 CEST <rpr@rpr-LIFEBOOK-A357>
# name: tmp
# type: complex matrix
# rows: 172
# columns: 1
 (8,0)
 (-45,0)
 (0.1416102996705518,0.1214959458602743)
 (-0.10740174479,-0.125151945700819)
 (0.05698847939211996,0.03433935293753095)
 (0.06167959860040914,-0.04894177816028583)
 (-0.08719855645942998,-0.202610227855133)
 (-0.300353458060609,0.03220585247540993)
 (0.02146890148215369,-0.01394618160396621)
 (0.0605441776958136,-0.1644519204081764)
 (-40,0)
 (0.1687307273216664,-0.02873080264475706)
 (-0.02650856895607618,-0.1980471112396808)
 (-0.09626844994124968,0.08089589709108236)
 (0.1428135343491143,0.1129152525735216)
 (0.1267400002176155,0.02708534075463567)
 (-0.08540064326187169,-0.02524640613948933)
 (-0.0153483918248341,0.01781026297507242)
 (0.1653566283560254,-0.0685812610717802)
 (-35,0)
 (0.1651215096116295,-0.06301331749599202)
 (-0.02505172573368255,-0.2210106191407747)
 (-0.1126443156273818,-0.006445061361157967)
 (-0.08123498326514034,0.05627178503388203)
 (0.1463414791521797,0.03618306930338058)
 (-0.1198961984876837,-0.1841604752700965)
 (-0.02135406751351618,-0.07396075939193295)
 (0.1138319182768683,0.08057540041112549)
 (-30,0)
 (0.2162010853506892,0.05231761457530663)
 (0.01638513891415824,-0.101423620263172)
 (-0.07902271970132152,0.01230086326415369)
 (-0.08854006201744612,0.1624443060738726)
 (0.09101191365027229,-0.0216609898306339)
 (0.1006788360501534,-0.05664489924231238)
 (-0.08886424106161459,-0.09867394318183079)
 (-0.1319852520296404,0.005635779570666695)
 (-25,0)
 (0.1536434203559188,0.0005110747288518099)
 (0.004972949604336925,-0.1377224505062252)
 (-0.04878328932343692,-0.1018059082354117)
 (-0.1519402294951837,0.08814977983027852)
 (-0.05103883468890331,0.1033285810481756)
 (0.1090535153253117,0.04119627987360491)
 (0.0742422433123983,-0.1206912200322042)
 (-0.04498415710030079,-0.06581445073095826)
 (-20,0)
 (0.1115463815615253,0.02839927414643561)
 (0.003803756936961805,-0.02035123166381185)
 (-0.08372103137133829,-0.1403384344430308)
 (-0.1286036768701505,-0.02725039621136878)
 (-0.1130174754969894,0.1016913632314404)
 (-0.008992813675744156,0.1648048801248724)
 (0.1345561022705881,0.06077324896545637)
 (0.1070301822507727,-0.04380346359874601)
 (-15,0)
 (0.06329396251265212,0.01656957708352669)
 (0.09610783165712124,-0.04099172566694727)
 (0.00843833444794934,-0.1332624299650698)
 (-0.1404218730739691,-0.08777725357845542)
 (-0.170444842931378,-0.003492957180559336)
 (-0.1602288570895551,0.05758821030346241)
 (-0.03580517855199764,0.01508096257952597)
 (0.06990628338346724,0.1771313566993631)
 (-10,0)
 (0.1312097062294624,-0.01111461916047262)
 (0.110261683699071,-0.04937049201598932)
 (0.06298455235187073,-0.02601960102077844)
 (0.02881861154587003,-0.1551366986462545)
 (-0.1590697373229949,-0.1477509039870256)
 (-0.07728385752936626,-0.1287016660888968)
 (-0.1079138820412376,0.007299315626958541)
 (-0.09528130946209398,9.401356136735928e-05)
 (-5,0)
 (0.07370752722860083,0.05600264059235534)
 (0.2043949296979468,-0.05040794710920275)
 (0.009931286961720021,-0.03235160791968814)
 (0.08136036996231183,-0.1667338871863694)
 (0.08739362219933433,-0.111931172262362)
 (0.02627071847547227,-0.1564339496461578)
 (0.03840603175618921,-0.139460782252954)
 (0.0178097700050913,-0.08270388054202876)
 (0,0)
 (0.1034911784199901,0.01354823370430113)
 (0.1302361790947225,-0.005153559724821189)
 (0.2277472118958038,0.05491694729569704)
 (0.05676128525270635,-0.09180165313238328)
 (0.1821022245770585,-0.01445890841598954)
 (0.1592459081878037,0.03283669916340066)
 (0.0860294496174745,0.006408925391035318)
 (0.05438656295444053,0.003703315718760358)
 (5,0)
 (-0.02324228744680157,0.009171755845967635)
 (0.1480801118430461,0.04109156783600228)
 (0.1220416149369892,0.1046039935764778)
 (0.1179664131264888,0.03994671611030086)
 (0.09810097813073755,0.1553624973389046)
 (0.09346292867829678,0.08868912758366405)
 (-0.02118298300013619,0.1671672258334889)
