# Created by Octave 4.2.2, Thu May 02 15:41:14 2019 CEST <rpr@rpr-LIFEBOOK-A357>
# name: tmp
# type: complex matrix
# rows: 172
# columns: 1
 (8,0)
 (-45,0)
 (0.2195003728269626,0.06797052819973826)
 (-0.103943537690042,-0.08075600515082884)
 (-0.09822973178456644,0.2000376679615289)
 (-0.006444401627431415,0.1225105723163002)
 (-0.1153656233674679,-0.09650933335285253)
 (0.09053330826734779,-0.05754472524114862)
 (0.2077817923929375,0.1924645142144802)
 (0.03225836514420684,-0.132429539768154)
 (-40,0)
 (0.1169741143718156,-0.04010283038660461)
 (0.02596755192503964,-0.2133443755573254)
 (-0.01068848716542131,0.06999878599597549)
 (-0.04467898108146923,0.02399377415224264)
 (0.01493848774737364,-0.1553424548767273)
 (0.02221197629354033,-0.1038452812246546)
 (0.0218243364309261,0.2515684828607845)
 (0.2515929974630371,-0.01926776701568631)
 (-35,0)
 (0.2664988472265115,0.06040518199283047)
 (-0.1050556037013224,-0.1503176631263927)
 (0.03805151904055654,-0.03443410326202559)
 (0.1210025449863674,0.1938882925171753)
 (0.1565163131547395,0.1261743649294236)
 (-0.04764008635269509,-0.06335089274580021)
 (-0.08987513913801387,0.01688731819671572)
 (0.05560613303038806,0.1041511749961671)
 (-30,0)
 (0.1377479296232486,0.03348957558445677)
 (0.1064993203573205,-0.05546627500489608)
 (-0.05367500978920615,0.109901135848866)
 (-0.133158226790512,0.3205837438486625)
 (0.07420328350159927,-0.09631812214313636)
 (0.1489578573596149,0.05449105490471884)
 (-0.08617475048706773,-0.1567426762211369)
 (-0.159948422286987,0.08136026894221526)
 (-25,0)
 (0.11012049523239,0.06378022048971041)
 (0.03294248412380062,-0.07562365981890522)
 (-0.2089404725485433,-0.02427890123020471)
 (-0.06118992043534499,0.1086238694449289)
 (-0.1648293773506289,0.1307484886611202)
 (0.1062031837814189,0.01992036511553187)
 (0.05042623414238034,-0.07179233515535795)
 (-0.1090906549329942,-0.1932423186079619)
 (-20,0)
 (0.1401818151509993,0.01803943046392672)
 (0.05828971302850522,-0.009123737079589356)
 (-0.05783945054899883,-0.1865092271003067)
 (-0.08669490578217418,-0.0169585754299297)
 (-0.08701306017847925,0.1723635696334918)
 (0.09180207933393679,-0.01600519783635793)
 (0.06877978572089546,0.03557538851541606)
 (0.3039216654251651,-0.03165086852295242)
 (-15,0)
 (0.276553835385796,-0.03398867177556407)
 (0.1654973242909181,0.0195502059487393)
 (-0.06297582062801431,-0.07636769060598739)
 (-0.1257913621250545,-0.03482878523500854)
 (-0.04896667157321968,-0.06251662715045339)
 (-0.1924416852770477,0.08215631673294571)
 (-0.02411408939041973,0.1035750800344449)
 (0.02001676030144151,0.06475000014850077)
 (-10,0)
 (0.110164135428392,-0.06147974165308137)
 (0.1747940172712248,0.02984981295219363)
 (0.02397902103249398,0.01812923336858968)
 (-0.0491690989496921,-0.1508000838118315)
 (-0.05566563054472552,-0.1480730975786439)
 (-0.1488358692267873,0.04506664850523827)
 (-0.08605917616419341,-0.1595570318324178)
 (-0.2297614004612613,0.0903298767083985)
 (-5,0)
 (0.1436329861266223,-0.117428448135917)
 (0.1754459228033335,0.0153779875286665)
 (0.1160417161526522,-0.04012149014429039)
 (0.1533884235281662,-0.06303347875857439)
 (0.06159433955756111,-0.06926853823094734)
 (0.08324586661114526,0.05061482648751538)
 (-0.04422296160239041,-0.291299352741869)
 (-0.05808501676713536,-0.04689769952292228)
 (0,0)
 (0.1203672895471889,0.05073523643436629)
 (0.07740342289131469,-0.09857329229590478)
 (0.1396080916505925,0.008307408226136131)
 (0.06194504638888239,0.008121356866800067)
 (0.1069856216893315,0.08973705922957867)
 (0.114911808211609,-0.01581711986689546)
 (0.1425482848352895,-0.07530630781796069)
 (0.2362304347857914,0.03279565922388047)
 (5,0)
 (0.08888421461952686,-0.005279870889409773)
 (0.2496437064807219,0.02618392014359297)
 (0.0594431737960562,0.1349401829285021)
 (0.06116899358795987,-0.02557519744997289)
 (0.09036933165769832,0.1237145893052383)
 (0.02555216143468566,0.05554980296034416)
 (-0.04757926520493344,0.1507364166654108)
